text,state
"Por teléfono no atiende nadie. Hice una denuncia por robo de celular y me pidieron documentación adicional por WhatsApp y ahora no les funciona, tengo que resolver esto YA para que cierren de una vez la gestión!",0.0
Cuánto me costaría pagar póliza de seguro de un taxi en lima,0.0
En su relacion de marcas no se encuentra la marca ertiga 4x2 susuki como se puede ingresar este modelo,0.0
Que de cierto es que dhi seguros se va del país,0.0
Solicito seguro scrt salud,0.0
Son unos inútiles,0.0
Estos seguros son de lo peor,0.0
Quiero asegurar mi auto es extranjero por un mes contra todo,0.0
¿Como hago para asegurar mi auto?,0.0
CUANDO ME VAN A PAGAR PPARECE EL CUENTO DE LLA BUENA PIPA SINIESTRO DELL 29-2-20,0.0
Hola como estan quiero asegurar mi trailer como puedo hacer???,0.0
Quisiera saber el precio del seguro para un auto,0.0
Oficina donde comprar soat de interseguro para mi camioneta de placa f2u 854 para el 2018,0.0
"Nececito grúa, de barranca a carhuaz, precio, carro camioneta ford eco sport 4 por 2",0.0
"He recibido un sobre cerrado de esta empresa, por intermedio de un cartero, impresentable. No confien en esta compañia",0.0
Cuanto cuesta un auto,0.0
Quiero muchos autos,0.0
Me robaron el auto que puedo hacer?,0.0
Monto de soat para toyota,0.0
Amigo cuánto está el soat para un hyundai creta año 2017,0.0
El seguro es internacional,0.0
Que esta costando,0.0
Deseo adquirir un seguro vehicular y necesito una cotizacion y requisitos,0.0
Deseo muchos autos y camionetas,0.0
Aseguran motos?,0.0
Como aseguro mi moto?,0.0
Quiero una moto,0.0
Dame una moto,0.0
Esta empresa de seguros es inutil,0.0
La persona que me atendio es inutil,0.0
putos,0.0
Necesito asegurar un ford nuevo que voy a recibir hoy como hago?,0.0
Quiero asegurar mi ford,0.0
"Tengo un ford, como lo aseguro?",0.0
Me compre una moto. Como hago para asegurarla?,0.0
Muy buenos la verdad necesito un soat electronico kiero saver el costo mi carro es del año 1994,0.0
Señores interseguros. Deseo contratar con ustedes un seguro vehicular. Por favor contactar al 966-342-785. Mi nombre es jesús márquez. Espero su llamada. Gracias,0.0
He sido victima de un accidente en carretera me han teosado el parabrisa de mi auto quiero sabwr si wl soat cubre hasta domde,0.0
Cual es su sede en huaraz?,0.0
Donde queda la empresa?,0.0
porque son tan inutiles,0.0
???,0.0
.,0.0
?,0.0
Buenas tardes acabo de adquirir una mini-van de 7 pasajeros marca suzuki es para taxi estacion cuanto me sale el seguro para pagar ademas si ese seguro me cubre cuando de vez en cuando salgo de paseo con mi familia a cualquier lugar. Gracias,0.0
ke tal,0.0
que tal como estan?,0.0
esto es spam,0.0
quisera saber el precio del soat para mi auto,0.0
toyota yaris 2009 uso de taxi,0.0
aseguran taxis?,0.0
Como hago para asegurar mi taxi?,0.0
Quiero un taxi,0.0
Que beneficios se tiene se compro un seguro para vehículo nuevo,0.0
Necesito un seguro vehicular para taxi gracias,0.0
Me pueden ayudar?,0.0
Quiero contratar un seguro contactense conmigo,0.0
Porfavor,0.0
 Mi póliza ya venció y deseo renovarla como hago?,0.0
Mi póliza ya venció y deseo renovarla,0.0
Quiero renovar mi seguro,0.0
Deseo renovar,0.0
Como se financia un toyota,0.0
Que cuesta el soat para taxi,0.0
Cuanto cuestan los seguros vehiculares?,0.0
Necesito renovar seguro vehicular mazda,0.0
Necesito renovar seguro toyota,0.0
Quiero renovar un seguro de ford,0.0
Costo de seguro para vehiculo toyota 2015 todo riesgo,0.0
Quiero un seguro todo riesgo cuanto sale,0.0
Cuanto sale?,0.0
Como hago?,0.0
Son unos pelotudos,0.0
Pavos,0.0
Son el peor seguro del mundo,0.0
De lo peor,0.0
Nunca contraten este seguro es muy malo,0.0
Lo peor que contrate,0.0
No compren esto,0.0
pesimo servicio,0.0
el peor seguro,0.0
seguro inutil,0.0
